Company,Industry,What They Do,Pain Point,Contact Person,Role,X/Twitter,LinkedIn,Email,Website,Outreach Status,First Contact Date,Last Follow-Up,Next Action,Response,Deal Stage,Package Interest,Estimated Value,Priority,Notes
Pixelmon,Web3/Gaming,Monster-collecting game on Avalanche,No visible CMO - needs content creators,Giulio Xiloyannis,CEO,@Pixelmon,linkedin.com/company/pixelmon,,pixelmon.ai,Not Started,,,DM on X,,Lead,Package 2,$5-15K/mo,13,$8M seed - Animoca Brands
Illuvium,Web3/Gaming,AAA blockchain RPG on Ethereum,AAA game needs AAA marketing for launch,,Marketing Lead,@illaboratory,,,,Not Started,,,Research marketing contact,,Lead,Package 3,$10-25K/mo,14,Framework Ventures backed
Impossible Finance,Web3/NFT/DeFi,DeFi launchpad + acquired Rarible,Post-acquisition needs rebrand content,,Marketing,@ImpossibleFi,,,,Not Started,,,Research contact,,Lead,Package 1,$8-15K/mo,15,Just acquired Rarible
World Markets,DeFi/Trading,Everything DEX on MegaETH,Brand new protocol - needs everything,Kevin Coons,Co-founder,,,,,Not Started,,,Find X handle,,Lead,Package 3,$3-8K/mo,16,Launched Feb 2026
Mangrove,DeFi/DEX,Order book DEX with programmable liquidity,Hiring Community Manager,@MangroveDAO,Community Manager,@MangroveDAO,linkedin.com/company/mangrovedao,,mangrove.exchange,Not Started,,,Apply to role,,Lead,Package 1,$3-8K/mo,17,
Lendasat,Web3/Bitcoin,Bitcoin-backed self-custodial lending,Early-stage needs educational content,,Founder,,,,lendasat.com,Not Started,,,Research founder,,Lead,Package 1,$2-5K/mo,18,Pre-seed from Fulgur Ventures
Kalshi,Web3/Fintech,Regulated prediction market,Massive brand building vs Polymarket,,Marketing Lead,,linkedin.com/company/kalshi,,kalshi.com,Not Started,,,Research marketing team,,Lead,Package 3,$25-50K/mo,19,$1B Series E - $22B valuation
KuCoin,Crypto Exchange,Major crypto exchange,Active content creator program paying BTC,,Creator Program,@KuCoin,,apply via Telegram @KuCoinLive8,kucoin.com,Not Started,,,Contact @KuCoinLive8 on Telegram,,Lead,Creator Program,$1.5K/mo,20,
CoinEx,Crypto Exchange,Crypto exchange with KOL program,Needs creators with 5K+ followers,,KOL Program,,,apply via website,coinex.com/en/kol,Not Started,,,Apply to KOL program,,Lead,Creator Program,Varies,21,
MEXC,Crypto Exchange,Crypto exchange,UGC Learn Creator Program - $200/piece,,Creator Program,,,apply via website,mexc.com/learn,Not Started,,,Apply to creator program,,Lead,Creator Program,$600/mo,22,$200 per piece
Crypto.com,Crypto Exchange,Major crypto platform,Hiring KOL/Affiliate Managers,,KOL Manager,,linkedin.com/company/cryptocom,,crypto.com,Not Started,,,Check careers page,,Lead,Package 3,$10-30K/mo,23,
Bitpanda,Crypto Exchange,European crypto exchange,Hiring KOL roles March 2026,,Marketing,,linkedin.com/company/bitpanda,,bitpanda.com,Not Started,,,Research open roles,,Lead,Package 1,$5-15K/mo,24,
Dynatrace,Web2/SaaS,Software intelligence platform,Hiring Director of Marketing AI Transformation,,Marketing AI Director,,linkedin.com/company/dynatrace,,dynatrace.com,Not Started,,,Apply to role,,Lead,Consulting,$15-30K/mo,25,
Airwallex,Web2/Fintech,Global payments + multi-currency,Integrating AI into financial marketing,,Marketing,,linkedin.com/company/airwallex,,airwallex.com,Not Started,,,Research contact,,Lead,Consulting,$10-25K/mo,26,
Coinbound,Web3/Agency,Crypto influencer marketing agency,800+ clients - partnership opportunity,,Partnerships,@coinaboratory,,,,Not Started,,,Pitch white-label partnership,,Lead,Partnership,Revenue share,27,MetaMask + eToro clients
theKOLLAB,Web3/Agency,Crypto KOL marketing agency,Could use AI for campaign management,,Partnerships,,,,thekollab.io,Not Started,,,Pitch AI automation,,Lead,Partnership,Revenue share,28,
Formo.so,Web3/Marketing,DeFi marketing growth platform,Published DeFi growth guide - integration opportunity,,Partnerships,,,,formo.so,Not Started,,,Pitch integration,,Lead,Partnership,Revenue share,29,
BVNK,Web3/Payments,Stablecoin infrastructure,Mastercard acquisition transition,,Marketing,,linkedin.com/company/bvnk,,bvnk.com,Not Started,,,Research interim needs,,Lead,Package 1,$15-30K/mo,30,$1.8B Mastercard acquisition
Alchemist AI,Web3/AI,AI creation platform,Active content bounty program,,Community,@alchemistAIapp,,,,Not Started,,,Apply to bounty program,,Lead,Bounty,$500-2K/post,31,Ongoing bounty
MindoAI,Web3/AI,AI video platform,$70K video leaderboard active,,Partnerships,@MindoAI,,,,Not Started,,,Enter video leaderboard,,Lead,Bounty,Share of $70K,32,
PrimeIntellect,AI,AI infrastructure,Hiring Head of Growth,,CEO/Founder,@PrimeIntellect,,,,Not Started,,,Apply to role,,Lead,Full-time,$8K/mo+,33,$10K referral bounty
Sogni AI,AI,AI creation platform,Hiring Marketing/Community Manager,,Marketing,@SogniAI,,,,Not Started,,,Apply to role,,Lead,Full-time,Market rate,34,Remote international
The Rundown AI,AI/Media,AI newsletter + media ($10M+ revenue),7 open roles including GM of AI,Rowan Cheung,CEO,@rowancheung,,,,Not Started,,,DM or apply,,Lead,Full-time,Market rate,35,$2K referral bonus
