Company,Industry,What They Do,Pain Point,Contact Person,Role,X/Twitter,LinkedIn,Email,Website,Outreach Status,First Contact Date,Last Follow-Up,Next Action,Response,Deal Stage,Package Interest,Estimated Value,Priority,Notes,Verified Status (March 28 2026)
Alchemist AI,Web3/AI,AI creation platform,Content bounty ($100-$2K/post) - status unclear,,Community,@alchemistAIapp,,,,Not Started,,,Check Discord to confirm bounty active,,Lead,Bounty,$500-2K/post,26,No 2026 confirmation found,UNCONFIRMED
Paradex,DeFi/Derivatives,Zero-fee perps DEX on Starknet,ROLE CLOSED,,N/A,@tradeparadex,,,paradex.trade,Closed,,,Role expired Nov 2024. DM team if pitching services.,,Dead,N/A,N/A,99,,CLOSED
Variational,DeFi/Derivatives,RFQ-based derivatives on Arbitrum,NO PUBLIC OPENINGS,Max Bibeau,Marketing,@variaboratory,,hello@variational.io,,Closed,,,No public roles. DM Max or email if pitching.,,Dead,N/A,N/A,99,,CLOSED
Bluesky,Web3/Social,Decentralized social media,ROLE CLOSED,,N/A,,linkedin.com/company/bluesky-pbc,,bsky.social,Closed,,,Only Sports Partnership Manager open.,,Dead,N/A,N/A,99,,CLOSED
Turnkey,Web3/Infrastructure,Crypto wallet infra (ex-Coinbase),NO MARKETING ROLES,Bryce Ferguson,CEO,,linkedin.com/company/turnkeyhq,,turnkey.com,Closed,,,Zero marketing roles. Sales + RevOps only.,,Dead,N/A,N/A,99,,CLOSED
Mangrove,DeFi/DEX,Order book DEX,ALL ROLES CLOSED,@MangroveDAO,N/A,@MangroveDAO,,,mangrove.exchange,Closed,,,Zero openings.,,Dead,N/A,N/A,99,,CLOSED
Dynatrace,Web2/SaaS,Software intelligence,ROLE CLOSED,,N/A,,linkedin.com/company/dynatrace,,dynatrace.com,Closed,,,Careers page shows 0 positions.,,Dead,N/A,N/A,99,,CLOSED
Sogni AI,AI,AI creation platform,NO PUBLIC ROLES,,N/A,@SogniAI,,,,Closed,,,No careers page exists.,,Dead,N/A,N/A,99,,CLOSED
The Rundown AI,AI/Media,AI newsletter + media,NO INTERNAL ROLES,Rowan Cheung,CEO,@rowancheung,,,,Closed,,,Job board lists external roles only.,,Dead,N/A,N/A,99,,CLOSED
BVNK,Web3/Payments,Stablecoin infrastructure,ACQUISITION FREEZE,,N/A,,linkedin.com/company/bvnk,,bvnk.com,Closed,,,Mastercard $1.8B deal closing late 2026.,,Dead,N/A,N/A,99,,CLOSED
