Title,Platform,Content Type,Goal,Status,Priority,Personality Marker,Recurring,Post Date,Hook Used,Notes
[TK-2] Things I wish someone told me before crypto,TikTok,TikTok Script,Reach,Draft,Normal,Mythology,One-Time,2026-04-02T11:00:00,,Phase 1 | TK-2 | NEW | [TOPIC ONLY] | v2
[X-2] The hardest part of building something real isn't the work. It's staying quiet w...,X/Twitter,Tweet,Authority,Draft,Normal,Polarizing Stand,One-Time,2026-04-02T12:00:00,The hardest part of building something real isn't the work. It's staying quiet while everyone chases trends.,Phase 1 | X-PM | B-7 | [v1 hook] | v2
[TK-3] Biggest struggle as a crypto beginner — drop yours,TikTok,TikTok Script,Community,Draft,Normal,Hot Take,One-Time,2026-04-02T16:00:00,,Phase 1 | TK-3 | NEW | [TOPIC ONLY] | v2
[LI-2] The myth of the talented creator vs the consistent one,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Story,One-Time,2026-04-02T16:00:00,,Phase 1 | LI-2 | NEW | [TOPIC ONLY] | v2
[TG-2] Apr 2 - 5PM WAT,Telegram,Community Post,Authority,Draft,Normal,Enemy,One-Time,2026-04-02T16:00:00,,
[IG-2] 3 tokens the SEC cleared that nobody is watching,Instagram,Reel Script,Reach,Draft,Normal,Callout,One-Time,2026-04-02T17:00:00,,Phase 1 | IG-2 | NEW | [TOPIC ONLY] | v2
[TK-4] Why simplicity beats complexity in every trade,TikTok,TikTok Script,Authority,Draft,Normal,Mythology,One-Time,2026-04-02T19:00:00,,Phase 1 | TK-4 | NEW | [TOPIC ONLY] | v2
[TK-1] How I went from manual charting to automated signals,TikTok,TikTok Script,Sales,Draft,Normal,Hot Take,One-Time,2026-04-03T06:00:00,,Phase 1 | TK-1 | NEW | [TOPIC ONLY] | v2
[IG-1] The 16 tokens the SEC cleared — full Q2 update,Instagram,Carousel,Sales,Draft,Normal,Story,One-Time,2026-04-03T07:00:00,,Phase 1 | IG-1 | NEW | [TOPIC ONLY] | v2
[X-1] BlackRock made staking institutional. ETH up 20% since. The thesis is playing ou...,X/Twitter,Thread,Authority,Draft,High,Polarizing Stand,One-Time,2026-04-03T08:00:00,BlackRock made staking institutional. ETH up 20% since. The thesis is playing out.,Phase 1 | X-AM | A-2 | [DRAFT READY] | v2
[TG-1] Apr 3 - 9AM WAT,Telegram,Community Post,Leads,Draft,Normal,Enemy,One-Time,2026-04-03T08:00:00,,
[LI-1] 2 weeks of conversations over broadcasts: raw engagement data,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Callout,One-Time,2026-04-03T09:00:00,,Phase 1 | LI-1 | NEW | [TOPIC ONLY] | v2
[TK-2] Why most crypto KOLs are lying to you,TikTok,TikTok Script,Reach,Draft,Normal,Mythology,One-Time,2026-04-03T11:00:00,,Phase 1 | TK-2 | NEW | [TOPIC ONLY] | v2
[X-2] What's the most expensive lesson crypto taught you? Mine: trusting influencers o...,X/Twitter,Tweet,Community,Draft,Normal,Polarizing Stand,One-Time,2026-04-03T12:00:00,What's the most expensive lesson crypto taught you? Mine: trusting influencers over charts.,Phase 1 | X-PM | B-8 | [v1 hook] | v2
[TK-3] Reply with your worst trade. I'll share mine.,TikTok,TikTok Script,Community,Draft,Normal,Hot Take,One-Time,2026-04-03T16:00:00,,Phase 1 | TK-3 | NEW | [TOPIC ONLY] | v2
"[LI-2] The automation paradox: less effort, better results",LinkedIn,LinkedIn Post,Authority,Draft,Normal,Story,One-Time,2026-04-03T16:00:00,,Phase 1 | LI-2 | NEW | [TOPIC ONLY] | v2
[TG-2] Apr 3 - 5PM WAT,Telegram,Community Post,Authority,Draft,Normal,Enemy,One-Time,2026-04-03T16:00:00,,
[IG-2] AI portfolio analysis: 3 things found in 2 minutes,Instagram,Reel Script,Community,Draft,Normal,Callout,One-Time,2026-04-03T17:00:00,,Phase 1 | IG-2 | NEW | [TOPIC ONLY] | v2
[TK-4] I tracked 200 trades. Here's the pattern that separated the winners from the los...,TikTok,TikTok Script,Authority,Draft,Normal,Mythology,One-Time,2026-04-03T19:00:00,I tracked 200 trades. Here's the pattern that separated the winners from the losers.,Phase 1 | TK-4 | B-8 | [v1 hook] | v2
[TK-1] The 3 tools that replaced my $5K/month content team,TikTok,TikTok Script,Sales,Draft,Normal,Hot Take,One-Time,2026-04-04T06:00:00,,Phase 1 | TK-1 | NEW | [TOPIC ONLY] | v2
"[IG-1] 3 tokens the SEC cleared that nobody is watching: AVAX, LINK, DOT.",Instagram,Reel Script,Leads,Draft,High,Story,One-Time,2026-04-04T07:00:00,"3 tokens the SEC cleared that nobody is watching: AVAX, LINK, DOT.",Phase 1 | IG-1 | A-4 | [DRAFT READY] | v2
[X-1] The crypto economy trained traders to watch charts 24/7 when it should have taug...,X/Twitter,Tweet,Authority,Draft,Normal,Polarizing Stand,One-Time,2026-04-04T08:00:00,The crypto economy trained traders to watch charts 24/7 when it should have taught them to automate.,Phase 1 | X-AM | B-9 | [v1 hook] | v2
[TG-1] Apr 4 - 9AM WAT,Telegram,Community Post,Leads,Draft,Normal,Enemy,One-Time,2026-04-04T08:00:00,,
[LI-1] 6 months ago I spent 30 hours/week researching content. This week I spent 3. Her...,LinkedIn,LinkedIn Post,Authority,Draft,High,Callout,One-Time,2026-04-04T09:00:00,6 months ago I spent 30 hours/week researching content. This week I spent 3. Here's what changed.,Phase 1 | LI-1 | A-8 | [DRAFT READY] | v2
[TK-2] The moment I almost quit crypto forever,TikTok,TikTok Script,Reach,Draft,Normal,Mythology,One-Time,2026-04-04T11:00:00,,Phase 1 | TK-2 | NEW | [TOPIC ONLY] | v2
[X-2] Weekend prep: here's what I'm watching — and what I'm NOT touching.,X/Twitter,Tweet,Authority,Draft,Normal,Polarizing Stand,One-Time,2026-04-04T12:00:00,Weekend prep: here's what I'm watching — and what I'm NOT touching.,Phase 1 | X-PM | B-9 | [v1 hook] | v2
[TK-3] The question nobody asks about building in Web3,TikTok,TikTok Script,Community,Draft,Normal,Hot Take,One-Time,2026-04-04T16:00:00,,Phase 1 | TK-3 | NEW | [TOPIC ONLY] | v2
[LI-2] 58% win rate and still profitable: the math nobody teaches,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Story,One-Time,2026-04-04T16:00:00,,Phase 1 | LI-2 | NEW | [TOPIC ONLY] | v2
[TG-2] Apr 4 - 5PM WAT,Telegram,Community Post,Authority,Draft,Normal,Enemy,One-Time,2026-04-04T16:00:00,,
[IG-2] The only 3 indicators you actually need,Instagram,Carousel,Reach,Draft,Normal,Callout,One-Time,2026-04-04T17:00:00,,Phase 1 | IG-2 | NEW | [TOPIC ONLY] | v2
[TK-4] The framework I use to evaluate any project in 5 min,TikTok,TikTok Script,Authority,Draft,Normal,Mythology,One-Time,2026-04-04T19:00:00,,Phase 1 | TK-4 | NEW | [TOPIC ONLY] | v2
[TK-1] Why I stopped trading like everyone else,TikTok,TikTok Script,Sales,Draft,Normal,Hot Take,One-Time,2026-04-05T06:00:00,,Phase 1 | TK-1 | NEW | [TOPIC ONLY] | v2
[IG-1] Morning routine as a crypto KOL,Instagram,Reel Script,Sales,Draft,Normal,Story,One-Time,2026-04-05T07:00:00,,Phase 1 | IG-1 | NEW | [TOPIC ONLY] | v2
[X-1] A year ago I was charting manually for 4 hours every morning. Now my system does...,X/Twitter,Tweet,Authority,Draft,Normal,Polarizing Stand,One-Time,2026-04-05T08:00:00,A year ago I was charting manually for 4 hours every morning. Now my system does it in 12 minutes.,Phase 1 | X-AM | B-10 | [v1 hook] | v2
[TG-1] Apr 5 - 9AM WAT,Telegram,Community Post,Leads,Draft,Normal,Enemy,One-Time,2026-04-05T08:00:00,,
[LI-1] Why I evaluate 3 data points instead of 12,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Callout,One-Time,2026-04-05T09:00:00,,Phase 1 | LI-1 | NEW | [TOPIC ONLY] | v2
"[TK-2] There are only 1,000,000 Bitcoin left. Ever. Here's why that matters.",TikTok,TikTok Script,Reach,Draft,High,Mythology,One-Time,2026-04-05T11:00:00,"There are only 1,000,000 Bitcoin left. Ever. Here's why that matters.",Phase 1 | TK-2 | A-6 | [DRAFT READY] | v2
[X-2] Crypto in 2026 is ________ and nobody's ready.,X/Twitter,Tweet,Community,Draft,Normal,Polarizing Stand,One-Time,2026-04-05T12:00:00,Crypto in 2026 is ________ and nobody's ready.,Phase 1 | X-PM | B-10 | [v1 hook] | v2
"[TK-3] If you could learn one crypto skill instantly, what?",TikTok,TikTok Script,Community,Draft,Normal,Hot Take,One-Time,2026-04-05T16:00:00,,Phase 1 | TK-3 | NEW | [TOPIC ONLY] | v2
[LI-2] The 3 data points I check before any decision — how less became more,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Story,One-Time,2026-04-05T16:00:00,,Phase 1 | LI-2 | NEW | [TOPIC ONLY] | v2
[TG-2] Apr 5 - 5PM WAT,Telegram,Community Post,Authority,Draft,Normal,Enemy,One-Time,2026-04-05T16:00:00,,
[IG-2] SEC cleared tokens: the update nobody is covering,Instagram,Reel Script,Community,Draft,Normal,Callout,One-Time,2026-04-05T17:00:00,,Phase 1 | IG-2 | NEW | [TOPIC ONLY] | v2
[TK-4] Polarizing take: stop diversifying your portfolio,TikTok,TikTok Script,Authority,Draft,Normal,Mythology,One-Time,2026-04-05T19:00:00,,Phase 1 | TK-4 | NEW | [TOPIC ONLY] | v2
[TK-1] How I built a system that works while I sleep,TikTok,TikTok Script,Sales,Draft,Normal,Hot Take,One-Time,2026-04-06T06:00:00,,Phase 1 | TK-1 | NEW | [TOPIC ONLY] | v2
[IG-1] 5 beginner trading mistakes that cost $10K+,Instagram,Carousel,Authority,Draft,Normal,Story,One-Time,2026-04-06T07:00:00,,Phase 1 | IG-1 | NEW | [TOPIC ONLY] | v2
[X-1] Everyone's talking about the SEC clearing 16 tokens. Nobody's talking about what...,X/Twitter,Tweet,Authority,Draft,Normal,Polarizing Stand,One-Time,2026-04-06T08:00:00,Everyone's talking about the SEC clearing 16 tokens. Nobody's talking about what this means for your tax strategy.,Phase 1 | X-AM | B-11 | [v1 hook] | v2
[TG-1] Apr 6 - 9AM WAT,Telegram,Community Post,Leads,Draft,Normal,Enemy,One-Time,2026-04-06T08:00:00,,
[LI-1] From 30 hours/week researching to 3. The architecture shift.,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Callout,One-Time,2026-04-06T09:00:00,,Phase 1 | LI-1 | NEW | [TOPIC ONLY] | v2
[TK-2] Hot take: 90% of crypto education is useless,TikTok,TikTok Script,Reach,Draft,Normal,Mythology,One-Time,2026-04-06T11:00:00,,Phase 1 | TK-2 | NEW | [TOPIC ONLY] | v2
[X-2] What's the one thing you'd change about crypto culture?,X/Twitter,Tweet,Community,Draft,Normal,Polarizing Stand,One-Time,2026-04-06T12:00:00,,Phase 1 | X-PM | NEW | [TOPIC ONLY] | v2
[TK-3] What's harder — finding alpha or trusting it?,TikTok,TikTok Script,Community,Draft,Normal,Hot Take,One-Time,2026-04-06T16:00:00,,Phase 1 | TK-3 | NEW | [TOPIC ONLY] | v2
"[LI-2] Why Web3 founders need systems, not more tools",LinkedIn,LinkedIn Post,Authority,Draft,Normal,Story,One-Time,2026-04-06T16:00:00,,Phase 1 | LI-2 | NEW | [TOPIC ONLY] | v2
[TG-2] Apr 6 - 5PM WAT,Telegram,Community Post,Authority,Draft,Normal,Enemy,One-Time,2026-04-06T16:00:00,,
[IG-2] Quote: 'Simplicity made me profitable',Instagram,Community Post,Reach,Draft,Normal,Callout,One-Time,2026-04-06T17:00:00,,Phase 1 | IG-2 | NEW | [TOPIC ONLY] | v2
[TK-4] Risk management isn't optional — it's the whole game,TikTok,TikTok Script,Authority,Draft,Normal,Mythology,One-Time,2026-04-06T19:00:00,,Phase 1 | TK-4 | NEW | [TOPIC ONLY] | v2
[TK-1] The real cost of doing crypto content manually,TikTok,TikTok Script,Sales,Draft,Normal,Hot Take,One-Time,2026-04-07T06:00:00,,Phase 1 | TK-1 | NEW | [TOPIC ONLY] | v2
[IG-1] 5 Trading Mistakes That Cost Beginners $10K+,Instagram,Carousel,Leads,Draft,High,Story,One-Time,2026-04-07T07:00:00,5 Trading Mistakes That Cost Beginners $10K+,Phase 1 | IG-1 | A-5 | [DRAFT READY] | v2
[X-1] The only 3 things I check before entering any trade. I used to check 12. Simplic...,X/Twitter,Thread,Authority,Draft,Normal,Polarizing Stand,One-Time,2026-04-07T08:00:00,The only 3 things I check before entering any trade. I used to check 12. Simplicity made me profitable.,Phase 1 | X-AM | B-12 | [v1 hook] | v2
[TG-1] Apr 7 - 9AM WAT,Telegram,Community Post,Leads,Draft,Normal,Enemy,One-Time,2026-04-07T08:00:00,,
[LI-1] I used to evaluate 12 data points before making a decision. Now I use 3. Here's ...,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Callout,One-Time,2026-04-07T09:00:00,I used to evaluate 12 data points before making a decision. Now I use 3. Here's why less made me sharper.,Phase 1 | LI-1 | B-12 | [v1 hook] | v2
[TK-2] Why your favorite crypto influencer is broke,TikTok,TikTok Script,Reach,Draft,Normal,Mythology,One-Time,2026-04-07T11:00:00,,Phase 1 | TK-2 | NEW | [TOPIC ONLY] | v2
[X-2] You can only keep one for the next bull run: BTC or ETH. No hedging. Which one a...,X/Twitter,Tweet,Community,Draft,Normal,Polarizing Stand,One-Time,2026-04-07T12:00:00,You can only keep one for the next bull run: BTC or ETH. No hedging. Which one and why?,Phase 1 | X-PM | B-12 | [v1 hook] | v2
[TK-3] Drop your portfolio age. How long you been at this?,TikTok,TikTok Script,Community,Draft,Normal,Hot Take,One-Time,2026-04-07T16:00:00,,Phase 1 | TK-3 | NEW | [TOPIC ONLY] | v2
[LI-2] 2 weeks of conversations over broadcasts: raw engagement data,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Story,One-Time,2026-04-07T16:00:00,,Phase 1 | LI-2 | NEW | [TOPIC ONLY] | v2
[TG-2] Apr 7 - 5PM WAT,Telegram,Community Post,Authority,Draft,Normal,Enemy,One-Time,2026-04-07T16:00:00,,
[IG-2] The 16 tokens the SEC cleared — full Q2 update,Instagram,Carousel,Community,Draft,Normal,Callout,One-Time,2026-04-07T17:00:00,,Phase 1 | IG-2 | NEW | [TOPIC ONLY] | v2
[TK-4] Why 58% win rate is actually elite-level trading,TikTok,TikTok Script,Authority,Draft,Normal,Mythology,One-Time,2026-04-07T19:00:00,,Phase 1 | TK-4 | NEW | [TOPIC ONLY] | v2
[TK-1] My morning as a crypto KOL: wake up → check dashboard → approve signals → done.,TikTok,TikTok Script,Sales,Draft,High,Hot Take,One-Time,2026-04-08T06:00:00,My morning as a crypto KOL: wake up → check dashboard → approve signals → done.,Phase 1 | TK-1 | A-9 | [DRAFT READY] | v2
[IG-1] AI portfolio analysis: 3 things found in 2 minutes,Instagram,Reel Script,Authority,Draft,Normal,Story,One-Time,2026-04-08T07:00:00,,Phase 1 | IG-1 | NEW | [TOPIC ONLY] | v2
[X-1] I'll be honest — I was scared to share my actual win rate. 58%. And I'm still pr...,X/Twitter,Tweet,Authority,Draft,Normal,Polarizing Stand,One-Time,2026-04-08T08:00:00,I'll be honest — I was scared to share my actual win rate. 58%. And I'm still profitable. Here's why.,Phase 1 | X-AM | B-13 | [v1 hook] | v2
[TG-1] Apr 8 - 9AM WAT,Telegram,Community Post,Leads,Draft,Normal,Enemy,One-Time,2026-04-08T08:00:00,,
"[LI-1] The automation paradox: less effort, better results",LinkedIn,LinkedIn Post,Authority,Draft,Normal,Callout,One-Time,2026-04-08T09:00:00,,Phase 1 | LI-1 | NEW | [TOPIC ONLY] | v2
[TK-2] The uncomfortable truth about trading courses,TikTok,TikTok Script,Reach,Draft,Normal,Mythology,One-Time,2026-04-08T11:00:00,,Phase 1 | TK-2 | NEW | [TOPIC ONLY] | v2
[X-2] If your 'community' is just a Telegram group where you dump signals and nobody r...,X/Twitter,Tweet,Community,Draft,Normal,Polarizing Stand,One-Time,2026-04-08T12:00:00,If your 'community' is just a Telegram group where you dump signals and nobody replies — that's not a community.,Phase 1 | X-PM | B-13 | [v1 hook] | v2
[TK-3] Crypto truths nobody wants to admit,TikTok,TikTok Script,Community,Draft,Normal,Hot Take,One-Time,2026-04-08T16:00:00,,Phase 1 | TK-3 | NEW | [TOPIC ONLY] | v2
[LI-2] Risk management isn't a strategy — it's the foundation,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Story,One-Time,2026-04-08T16:00:00,,Phase 1 | LI-2 | NEW | [TOPIC ONLY] | v2
[TG-2] Apr 8 - 5PM WAT,Telegram,Community Post,Authority,Draft,Normal,Enemy,One-Time,2026-04-08T16:00:00,,
"[IG-2] Quote: 'Systems, not willpower'",Instagram,Community Post,Reach,Draft,Normal,Callout,One-Time,2026-04-08T17:00:00,,Phase 1 | IG-2 | NEW | [TOPIC ONLY] | v2
[TK-4] The only 3 indicators you actually need,TikTok,TikTok Script,Authority,Draft,Normal,Mythology,One-Time,2026-04-08T19:00:00,,Phase 1 | TK-4 | NEW | [TOPIC ONLY] | v2
[TK-1] From 0 to profitable: my actual timeline,TikTok,TikTok Script,Sales,Draft,Normal,Hot Take,One-Time,2026-04-09T06:00:00,,Phase 1 | TK-1 | NEW | [TOPIC ONLY] | v2
[IG-1] I asked AI to analyze my portfolio. It found 3 things I missed in 2 minutes.,Instagram,Reel Script,Leads,Draft,High,Story,One-Time,2026-04-09T07:00:00,I asked AI to analyze my portfolio. It found 3 things I missed in 2 minutes.,Phase 1 | IG-1 | A-10 | [DRAFT READY] | v2
[X-1] People say AI content is generic slop. They're right — if you use it wrong. Here...,X/Twitter,Thread,Authority,Draft,Normal,Polarizing Stand,One-Time,2026-04-09T08:00:00,People say AI content is generic slop. They're right — if you use it wrong. Here's the difference.,Phase 1 | X-AM | C-9 | [v1 hook] | v2
[TG-1] Apr 9 - 9AM WAT,Telegram,Community Post,Leads,Draft,Normal,Enemy,One-Time,2026-04-09T08:00:00,,
[LI-1] 2 weeks ago I restarted my X account from near-zero engagement. Here are the raw...,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Callout,One-Time,2026-04-09T09:00:00,2 weeks ago I restarted my X account from near-zero engagement. Here are the raw numbers.,Phase 1 | LI-1 | B-14 | [v1 hook] | v2
[TK-2] Story time: how I lost $10K in one trade,TikTok,TikTok Script,Reach,Draft,Normal,Mythology,One-Time,2026-04-09T11:00:00,,Phase 1 | TK-2 | NEW | [TOPIC ONLY] | v2
[X-2] 2 weeks back on X. No links. No promos. Just talking. Here's what happened to my...,X/Twitter,Tweet,Authority,Draft,Normal,Polarizing Stand,One-Time,2026-04-09T12:00:00,2 weeks back on X. No links. No promos. Just talking. Here's what happened to my numbers.,Phase 1 | X-PM | B-14 | [v1 hook] | v2
[TK-3] The real reason most people fail in crypto,TikTok,TikTok Script,Community,Draft,Normal,Hot Take,One-Time,2026-04-09T16:00:00,,Phase 1 | TK-3 | NEW | [TOPIC ONLY] | v2
[LI-2] Why I evaluate 3 data points instead of 12,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Story,One-Time,2026-04-09T16:00:00,,Phase 1 | LI-2 | NEW | [TOPIC ONLY] | v2
[TG-2] Apr 9 - 5PM WAT,Telegram,Community Post,Authority,Draft,Normal,Enemy,One-Time,2026-04-09T16:00:00,,
[IG-2] Morning routine as a crypto KOL,Instagram,Reel Script,Community,Draft,Normal,Callout,One-Time,2026-04-09T17:00:00,,Phase 1 | IG-2 | NEW | [TOPIC ONLY] | v2
[TK-4] Data doesn't lie: what separates winners from losers,TikTok,TikTok Script,Authority,Draft,Normal,Mythology,One-Time,2026-04-09T19:00:00,,Phase 1 | TK-4 | NEW | [TOPIC ONLY] | v2
[TK-1] I used to spend 6 hours on content. Now I spend 15 minutes.,TikTok,TikTok Script,Sales,Draft,Normal,Hot Take,One-Time,2026-04-10T06:00:00,,Phase 2 | TK-1 | NEW | [TOPIC ONLY] | v2
[IG-1] The 3-hour content week: how it actually works,Instagram,Reel Script,Authority,Draft,Normal,Story,One-Time,2026-04-10T07:00:00,,Phase 2 | IG-1 | NEW | [TOPIC ONLY] | v2
[X-1] How to research any crypto project in under 10 minutes. Here's the framework — m...,X/Twitter,Thread,Authority,Draft,Normal,Polarizing Stand,One-Time,2026-04-10T08:00:00,How to research any crypto project in under 10 minutes. Here's the framework — manual or automated.,Phase 2 | X-AM | B-15 | [v1 hook] | v2
[TG-1] Apr 10 - 9AM WAT,Telegram,Community Post,Leads,Draft,Normal,Enemy,One-Time,2026-04-10T08:00:00,,
[LI-1] Consistency isn't discipline. It's design.,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Callout,One-Time,2026-04-10T09:00:00,,Phase 2 | LI-1 | NEW | [TOPIC ONLY] | v2
[TK-2] The day I realized talent doesn't scale — systems do,TikTok,TikTok Script,Reach,Draft,Normal,Mythology,One-Time,2026-04-10T11:00:00,,Phase 2 | TK-2 | NEW | [TOPIC ONLY] | v2
[X-2] What kills more portfolios: FOMO or FUD? I have a strong opinion.,X/Twitter,Tweet,Community,Draft,Normal,Polarizing Stand,One-Time,2026-04-10T12:00:00,What kills more portfolios: FOMO or FUD? I have a strong opinion.,Phase 2 | X-PM | B-15 | [v1 hook] | v2
[TK-3] Drop your content stack. I'll rate it.,TikTok,TikTok Script,Community,Draft,Normal,Hot Take,One-Time,2026-04-10T16:00:00,,Phase 2 | TK-3 | NEW | [TOPIC ONLY] | v2
[LI-2] The content system that runs without the creator,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Story,One-Time,2026-04-10T16:00:00,,Phase 2 | LI-2 | NEW | [TOPIC ONLY] | v2
[TG-2] Apr 10 - 5PM WAT,Telegram,Community Post,Authority,Draft,Normal,Enemy,One-Time,2026-04-10T16:00:00,,
[IG-2] Quote: 'Stop broadcasting. Start conversations.',Instagram,Community Post,Reach,Draft,Normal,Callout,One-Time,2026-04-10T17:00:00,,Phase 2 | IG-2 | NEW | [TOPIC ONLY] | v2
[TK-4] Researching a crypto project in under 60 seconds. Timer on screen.,TikTok,TikTok Script,Authority,Draft,Normal,Mythology,One-Time,2026-04-10T19:00:00,Researching a crypto project in under 60 seconds. Timer on screen.,Phase 2 | TK-4 | B-15 | [v1 hook] | v2
[TK-1] The system that replaced my content team,TikTok,TikTok Script,Sales,Draft,Normal,Hot Take,One-Time,2026-04-11T06:00:00,,Phase 2 | TK-1 | NEW | [TOPIC ONLY] | v2
[IG-1] 45 min = 1 post vs 45 min = 7 posts — before/after content system,Instagram,Carousel,Authority,Draft,Normal,Story,One-Time,2026-04-11T07:00:00,45 min = 1 post vs 45 min = 7 posts — before/after content system,Phase 2 | IG-1 | B-16 | [v1 hook] | v2
[X-1] Last month: 45 minutes for 1 post. This month: 45 minutes for a week of content....,X/Twitter,Tweet,Authority,Draft,Normal,Polarizing Stand,One-Time,2026-04-11T08:00:00,Last month: 45 minutes for 1 post. This month: 45 minutes for a week of content. Same quality.,Phase 2 | X-AM | B-16 | [v1 hook] | v2
[TG-1] Apr 11 - 9AM WAT,Telegram,Community Post,Leads,Draft,Normal,Enemy,One-Time,2026-04-11T08:00:00,,
[LI-1] 45 min used to produce 1 post. Now it produces 7. The quality didn't drop. Here'...,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Callout,One-Time,2026-04-11T09:00:00,45 min used to produce 1 post. Now it produces 7. The quality didn't drop. Here's what changed.,Phase 2 | LI-1 | B-16 | [v1 hook] | v2
[TK-2] Why I stopped chasing viral content,TikTok,TikTok Script,Reach,Draft,Normal,Mythology,One-Time,2026-04-11T11:00:00,,Phase 2 | TK-2 | NEW | [TOPIC ONLY] | v2
[X-2] Drop a crypto/AI creator who deserves more followers. I'll check every reply and...,X/Twitter,Tweet,Community,Draft,Normal,Polarizing Stand,One-Time,2026-04-11T12:00:00,Drop a crypto/AI creator who deserves more followers. I'll check every reply and follow 10 today.,Phase 2 | X-PM | B-16 | [v1 hook] | v2
